epoch,loss,running_cost,terminal_cost,cHJB,cHJBfin,cadj,cadjfin,time_per_epoch,grad_norm,lr,max_fp_itrs,max_fp_res_norm,memory_MB,max_memory_MB,gpu_memory_MB,gpu_max_memory_MB,work_units,max_grad_H,avg_grad_H,smallest_M_sdval,largest_M_sdval,smallest_lambda_min,largest_lambda_max,max_grad_T_u,avg_grad_T_u,sd_grad_T_u,angle,lin_residual,exploration_std
1,11.56428538262844,0.1028367131948471,2.2922897338867188,0.0,0.0,0.0,0.0,2.1637489795684814,0.11739697033459048,0.001,109,9.644031524658203e-05,131.640625,131.640625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.004366230601444841,0.5
2,11.55674147605896,0.10274100303649902,2.290800094604492,0.0,0.0,0.0,0.0,3.2085659503936768,0.12277071679336643,0.001,109,9.638071060180664e-05,86.796875,86.796875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.003087990782223642,0.495
3,11.532795280218124,0.09652242064476013,2.287254571914673,0.0,0.0,0.0,0.0,3.119016170501709,0.1176343481952387,0.001,109,9.644031524658203e-05,101.828125,101.828125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0029729240015149115,0.49005
4,11.507026344537735,0.09005466103553772,2.2833943367004395,0.0,0.0,0.0,0.0,3.1390089988708496,0.11177225407794575,0.001,109,9.614229202270508e-05,91.984375,91.984375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0027841883432120087,0.48514949999999996
5,11.480285421013832,0.08371283113956451,2.2793145179748535,0.0,0.0,0.0,0.0,3.3411948680877686,0.1054678471928257,0.001,109,9.644031524658203e-05,82.125,82.125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0026916224299930037,0.480298005
6,11.454035811126232,0.07802324742078781,2.275202512741089,0.0,0.0,0.0,0.0,3.2398810386657715,0.09977488548555932,0.001,109,9.644031524658203e-05,97.171875,97.171875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002692984025925398,0.47549502494999996
7,11.427961140871048,0.07280424237251282,2.271031379699707,0.0,0.0,0.0,0.0,3.2905499935150146,0.09460819905680438,0.001,109,9.626150131225586e-05,74.59375,74.59375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002502001563552767,0.47074007470049994
8,11.402381666004658,0.06818891316652298,2.266838550567627,0.0,0.0,0.0,0.0,3.3107452392578125,0.0897161012674826,0.001,109,9.644031524658203e-05,96.015625,96.015625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0025904357712715864,0.46603267395349496
9,11.37762126326561,0.06418761610984802,2.2626867294311523,0.0,0.0,0.0,0.0,3.354569911956787,0.08551357319103775,0.001,109,9.644031524658203e-05,78.46875,78.46875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0024672284582629798,0.46137234721396
10,11.353506304323673,0.06071136146783829,2.258558988571167,0.0,0.0,0.0,0.0,3.4254329204559326,0.08149273062594938,0.001,109,9.644031524658203e-05,99.828125,99.828125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0025242805341258645,0.45675862374182036
